Fee-Orders reports from 10-01-2016 to 12-31-2016
Category,Name,ASIN,Date,Qty,Price($),Link Type,Tag,Indirect Sales,Device Type Group
Cell Phones & Accessories,Wisdompro&reg; 10 Pack 7 Inch Colorful Hand Wrist Lanyard Strap String for USB Flash Drives Keys Keychains ID Name Tag Badge Holders and other Port,B00LIQCO8G,2016-11-08 14:23:12,1,4.99,PA-API,eileenog-20,di,DESKTOP
Computers,Transcend 64GB JetFlash 790 USB 3.0 Flash Drive (TS64GJF790W),B00MUWZ65K,2016-11-08 14:23:12,2,19.99,PA-API,eileenog-20,di,DESKTOP
Kitchen & Housewares,Kitch Easy Release White Ice Cube Tray 16 Cube Trays (Pack of 4),B01BLUCKGE,2016-11-08 14:23:12,1,10.05,PA-API,eileenog-20,di,DESKTOP
Computers,SanDisk Cruzer Blade 8GB (10 pack) SDCZ50-008G,B016EE0M5I,2016-11-08 14:23:12,1,41.43,PA-API,eileenog-20,di,DESKTOP
Office Products,2017 Texas Labor Law Poster - State & Federal Compliant - Laminated,B004GMKEFE,2016-11-14 12:29:08,1,24.99,PA-API,eileenog-20,ndi,DESKTOP
Pet Supplies,Pink Mesh Dog Travel Carriers Pet Totes Bag Doggy Basket Doggie Handbag Puppy Purse Cat Pouch,B00IGQJ362,2016-11-15 18:49:22,1,21.00,PA-API,eileenog-20,ndi,DESKTOP
Clothing & Accessories,Anni Coco Women's Halter 1950s Vintage Swing Tea Dresses TruRed Medium,B01DZVYEVQ,2016-11-15 18:49:22,1,22.99,PA-API,eileenog-20,ndi,DESKTOP
Tools & Hardware,Grey Granite Look Marble Effect Contact Paper Film Vinyl Self Adhesive Peel-stick Counter Top,B0109FFUYG,2016-11-15 18:49:22,1,23.40,PA-API,eileenog-20,ndi,DESKTOP
Pet Supplies,Jespet Portable Comfort 19-Inch Soft Sided Pet Carrier Airline Travel Cat/Dog Small Animals Tote Bag,B0157X75UM,2016-11-15 18:49:22,1,26.99,PA-API,eileenog-20,ndi,DESKTOP
Home,SquareTrade 2-Year Floor Care Extended Protection Plan ($100-124.99),B00YBCFQ0M,2016-11-22 05:19:57,1,5.39,PA-API,eileenog-20,di,DESKTOP
Home,BLACK+DECKER BDH2020FLFH MAX Lithium Flex Vacuum with Stick Vacuum Floor Head and Pet Hair Brush 20-volt - Cordless,B00JILGZOC,2016-11-22 05:19:57,1,114.00,PA-API,eileenog-20,di,DESKTOP
Computers,Microsoft Surface Pen for Surface Pro 4 (Charcoal),B01697F0ZC,2016-11-22 05:19:57,1,44.99,PA-API,eileenog-20,ndi,DESKTOP
